test_state_no,depth,move,duration
19,2,"('C4', 'B4')",0.0029990673065185547
19,3,"('B6', 'D6')",0.04499673843383789
19,4,"('C4', 'B4')",0.06356215476989746
19,5,"('C4', 'B4')",0.36312031745910645
19,6,"('C4', 'B4')",1.35129976272583
20,1,D5,0.0030150413513183594
20,2,D6,0.027028322219848633
20,3,D6,0.30252933502197266
20,4,D6,1.8165180683135986
20,5,D6,16.600111961364746
20,6,D2,56.85461115837097
21,1,B4,0.008010149002075195
21,2,B4,0.027512550354003906
21,3,D2,0.4632248878479004
21,4,B4,3.043414831161499
21,5,D2,30.96635103225708
21,6,E5,80.91121292114258
22,1,D1,0.003006458282470703
22,2,F4,0.0160675048828125
22,3,F4,0.08626794815063477
22,4,B4,0.355731725692749
22,5,F4,2.819850206375122
22,6,F4,10.704093933105469
23,1,D6,0.0029816627502441406
23,2,F2,0.020090341567993164
23,3,F4,0.25420475006103516
23,4,F2,0.7035596370697021
23,5,D6,9.694830656051636
23,6,B4,31.219704151153564
24,1,D6,0.004509925842285156
24,2,D6,0.0360109806060791
24,3,D6,0.40462732315063477
24,4,D5,2.223719596862793
24,5,B4,22.061161279678345
24,6,D5,77.00272178649902
25,1,D7,0.0009996891021728516
25,2,E3,0.004998683929443359
25,3,D1,0.00999760627746582
25,4,D1,0.06361150741577148
25,5,B4,0.4685797691345215
25,6,D1,1.0553715229034424
26,1,F4,0.0029897689819335938
26,2,F4,0.028402328491210938
26,3,D2,0.29302406311035156
26,4,F4,1.8598642349243164
26,5,B4,11.520359992980957
26,6,D6,48.55499768257141
27,1,D1,0.004997968673706055
27,2,D6,0.014998197555541992
27,3,D6,0.1920938491821289
27,4,D6,1.392012596130371
27,5,B4,11.075854063034058
27,6,D6,39.744279861450195
28,1,C4,0.0009958744049072266
28,2,D3,0.006033897399902344
28,3,G4,0.028864622116088867
28,4,A4,0.09393954277038574
28,5,D3,0.3741569519042969
28,6,G7,1.2415001392364502
29,1,D5,0.0019974708557128906
29,2,B4,0.010999679565429688
29,3,A7,0.08537149429321289
29,4,A7,0.4283325672149658
29,5,A7,3.003328323364258
29,6,A7,21.843689918518066
